name,n,Toffoli,CNOT,1-qubit
perm,8,6018.0,2806.0,8349.0
oldcount,8,2462.0,490.0,1457.0
optcount,8,2462.0,490.0,1457.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4443541835905767,5.726530612244898,5.730267673301304
perm,8,6018.0,2910.0,8563.0
oldcount,8,2432.0,484.0,1439.0
optcount,8,2432.0,484.0,1439.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4745065789473686,6.012396694214876,5.950660180681028
perm,8,5962.0,2846.0,8389.0
oldcount,8,2438.0,486.0,1445.0
optcount,8,2438.0,486.0,1445.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4454470877768664,5.8559670781893,5.805536332179931
perm,8,6158.0,2886.0,8587.0
oldcount,8,2486.0,494.0,1469.0
optcount,8,2486.0,494.0,1469.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4770716009654064,5.842105263157895,5.845473110959837
perm,8,6018.0,2830.0,8419.0
oldcount,8,2508.0,498.0,1481.0
optcount,8,2508.0,498.0,1481.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.3995215311004783,5.682730923694779,5.684672518568535
perm,8,5976.0,2784.0,8275.0
oldcount,8,2498.0,496.0,1475.0
optcount,8,2498.0,496.0,1475.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.3923138510808646,5.612903225806452,5.610169491525424
perm,8,6060.0,2908.0,8549.0
oldcount,8,2436.0,486.0,1449.0
optcount,8,2436.0,486.0,1449.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4876847290640396,5.983539094650205,5.899930986887509
perm,8,6186.0,2990.0,8867.0
oldcount,8,2508.0,498.0,1483.0
optcount,8,2508.0,498.0,1483.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4665071770334928,6.004016064257028,5.979096426163183
perm,8,5948.0,2748.0,8197.0
oldcount,8,2476.0,492.0,1467.0
optcount,8,2476.0,492.0,1467.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4022617124394183,5.585365853658536,5.587593728698023
perm,8,6060.0,2892.0,8563.0
oldcount,8,2484.0,494.0,1469.0
optcount,8,2484.0,494.0,1469.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4396135265700485,5.854251012145749,5.829135466303608
perm,8,6060.0,2752.0,8265.0
oldcount,8,2484.0,494.0,1471.0
optcount,8,2484.0,494.0,1471.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4396135265700485,5.57085020242915,5.61862678450034
perm,8,6130.0,2902.0,8651.0
oldcount,8,2448.0,488.0,1451.0
optcount,8,2448.0,488.0,1451.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.5040849673202614,5.94672131147541,5.962095106822881
perm,8,6102.0,2810.0,8415.0
oldcount,8,2520.0,500.0,1487.0
optcount,8,2520.0,500.0,1487.0
opt_old,8,1.0,1.0,1.0
perm_opt,8,2.4214285714285713,5.62,5.659045057162071
perm,8,6172.0,2944.0,8709.0
oldcount,8,2508.0,498.0,1481.0
