name,d,Toffoli,CNOT,1-qubit
perm,1,114.0,58.0,211.0
oldcount,1,220.0,26.0,117.0
optcount,1,220.0,26.0,117.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5181818181818182,2.230769230769231,1.8034188034188035
perm,1,114.0,54.0,205.0
oldcount,1,238.0,26.0,137.0
optcount,1,238.0,26.0,137.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.4789915966386555,2.076923076923077,1.4963503649635037
perm,1,114.0,46.0,193.0
oldcount,1,196.0,20.0,147.0
optcount,1,196.0,20.0,147.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5816326530612245,2.3,1.3129251700680271
perm,1,114.0,42.0,187.0
oldcount,1,132.0,16.0,109.0
optcount,1,132.0,16.0,109.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8636363636363636,2.625,1.7155963302752293
perm,1,114.0,50.0,199.0
oldcount,1,148.0,20.0,99.0
optcount,1,148.0,20.0,99.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7702702702702703,2.5,2.01010101010101
perm,1,114.0,42.0,187.0
oldcount,1,156.0,16.0,133.0
optcount,1,156.0,16.0,133.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7307692307692307,2.625,1.406015037593985
perm,1,114.0,38.0,181.0
oldcount,1,256.0,24.0,193.0
optcount,1,256.0,24.0,193.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.4453125,1.5833333333333333,0.9378238341968912
perm,1,114.0,42.0,187.0
oldcount,1,150.0,18.0,115.0
optcount,1,150.0,18.0,115.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.76,2.3333333333333335,1.626086956521739
perm,1,114.0,42.0,187.0
oldcount,1,196.0,22.0,137.0
optcount,1,196.0,22.0,137.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5816326530612245,1.9090909090909092,1.364963503649635
perm,1,114.0,54.0,205.0
oldcount,1,204.0,24.0,121.0
optcount,1,204.0,24.0,121.0
opt_old,1,1.0,1.0,1.0
