name,d,Toffoli,CNOT,1-qubit
perm,1,90.0,26.0,138.0
oldcount,1,26.0,8.0,31.0
optcount,1,26.0,8.0,31.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,3.4615384615384617,3.25,4.451612903225806
perm,1,90.0,30.0,144.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.6470588235294117,3.0,4.114285714285714
perm,1,90.0,42.0,162.0
oldcount,1,100.0,16.0,77.0
optcount,1,100.0,16.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9,2.625,2.103896103896104
perm,1,90.0,46.0,168.0
oldcount,1,130.0,18.0,95.0
optcount,1,130.0,18.0,95.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6923076923076923,2.5555555555555554,1.768421052631579
perm,1,90.0,46.0,168.0
oldcount,1,102.0,18.0,67.0
optcount,1,102.0,18.0,67.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8823529411764706,2.5555555555555554,2.5074626865671643
perm,1,90.0,46.0,168.0
oldcount,1,140.0,18.0,105.0
optcount,1,140.0,18.0,105.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6428571428571429,2.5555555555555554,1.6
perm,1,90.0,26.0,138.0
oldcount,1,40.0,8.0,45.0
optcount,1,40.0,8.0,45.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.25,3.25,3.066666666666667
perm,1,90.0,22.0,132.0
oldcount,1,20.0,6.0,27.0
optcount,1,20.0,6.0,27.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,4.5,3.6666666666666665,4.888888888888889
perm,1,90.0,38.0,156.0
oldcount,1,78.0,14.0,65.0
optcount,1,78.0,14.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.1538461538461537,2.7142857142857144,2.4
perm,1,90.0,42.0,162.0
oldcount,1,92.0,16.0,69.0
optcount,1,92.0,16.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9782608695652174,2.625,2.347826086956522
perm,1,90.0,50.0,174.0
oldcount,1,102.0,20.0,53.0
optcount,1,102.0,20.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8823529411764706,2.5,3.2830188679245285
perm,1,90.0,46.0,168.0
oldcount,1,122.0,18.0,87.0
optcount,1,122.0,18.0,87.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7377049180327869,2.5555555555555554,1.9310344827586208
perm,1,90.0,54.0,180.0
oldcount,1,162.0,22.0,97.0
optcount,1,162.0,22.0,97.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.5555555555555556,2.4545454545454546,1.8556701030927836
perm,1,90.0,30.0,144.0
oldcount,1,50.0,10.0,51.0
optcount,1,50.0,10.0,51.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.8,3.0,2.823529411764706
perm,1,90.0,46.0,168.0
oldcount,1,142.0,18.0,107.0
optcount,1,142.0,18.0,107.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6338028169014085,2.5555555555555554,1.5700934579439252
perm,1,90.0,50.0,174.0
oldcount,1,112.0,20.0,63.0
optcount,1,112.0,20.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8035714285714286,2.5,2.761904761904762
perm,1,90.0,30.0,144.0
oldcount,1,32.0,10.0,33.0
optcount,1,32.0,10.0,33.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.8125,3.0,4.363636363636363
perm,1,90.0,54.0,180.0
oldcount,1,142.0,22.0,77.0
optcount,1,142.0,22.0,77.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6338028169014085,2.4545454545454546,2.3376623376623376
perm,1,90.0,30.0,144.0
oldcount,1,54.0,10.0,55.0
optcount,1,54.0,10.0,55.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6666666666666667,3.0,2.618181818181818
perm,1,90.0,26.0,138.0
oldcount,1,56.0,8.0,61.0
optcount,1,56.0,8.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.6071428571428572,3.25,2.262295081967213
perm,1,90.0,42.0,162.0
oldcount,1,110.0,16.0,87.0
optcount,1,110.0,16.0,87.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8181818181818182,2.625,1.8620689655172413
perm,1,90.0,46.0,168.0
oldcount,1,116.0,18.0,81.0
optcount,1,116.0,18.0,81.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7758620689655172,2.5555555555555554,2.074074074074074
perm,1,90.0,26.0,138.0
oldcount,1,48.0,8.0,53.0
optcount,1,48.0,8.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.875,3.25,2.6037735849056602
perm,1,90.0,34.0,150.0
oldcount,1,74.0,12.0,69.0
optcount,1,74.0,12.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2162162162162162,2.8333333333333335,2.1739130434782608
perm,1,90.0,34.0,150.0
oldcount,1,66.0,12.0,61.0
optcount,1,66.0,12.0,61.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.3636363636363635,2.8333333333333335,2.459016393442623
perm,1,90.0,34.0,150.0
oldcount,1,74.0,12.0,69.0
optcount,1,74.0,12.0,69.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.2162162162162162,2.8333333333333335,2.1739130434782608
perm,1,90.0,46.0,168.0
oldcount,1,114.0,18.0,79.0
optcount,1,114.0,18.0,79.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7894736842105263,2.5555555555555554,2.1265822784810124
perm,1,90.0,38.0,156.0
oldcount,1,80.0,14.0,67.0
optcount,1,80.0,14.0,67.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.125,2.7142857142857144,2.328358208955224
perm,1,90.0,30.0,144.0
oldcount,1,72.0,10.0,73.0
optcount,1,72.0,10.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.25,3.0,1.9726027397260273
perm,1,90.0,46.0,168.0
oldcount,1,144.0,18.0,109.0
optcount,1,144.0,18.0,109.0
opt_old,1,1.0,1.0,1.0
