name,n,Toffoli,CNOT,1-qubit
perm,4,116.0,106.0,305.0
oldcount,4,24.0,20.0,55.0
optcount,4,14.0,16.0,45.0
opt_old,4,0.5833333333333334,0.8,0.8181818181818182
perm_opt,4,8.285714285714286,6.625,6.777777777777778
perm,4,104.0,106.0,301.0
oldcount,4,36.0,26.0,73.0
optcount,4,24.0,22.0,65.0
opt_old,4,0.6666666666666666,0.8461538461538461,0.8904109589041096
perm_opt,4,4.333333333333333,4.818181818181818,4.630769230769231
perm,4,110.0,108.0,297.0
oldcount,4,24.0,20.0,55.0
optcount,4,20.0,14.0,40.0
opt_old,4,0.8333333333333334,0.7,0.7272727272727273
perm_opt,4,5.5,7.714285714285714,7.425
perm,4,68.0,70.0,193.0
oldcount,4,26.0,20.0,59.0
optcount,4,16.0,16.0,49.0
opt_old,4,0.6153846153846154,0.8,0.8305084745762712
perm_opt,4,4.25,4.375,3.938775510204082
perm,4,74.0,68.0,185.0
oldcount,4,32.0,24.0,67.0
optcount,4,12.0,12.0,36.0
opt_old,4,0.375,0.5,0.5373134328358209
perm_opt,4,6.166666666666667,5.666666666666667,5.138888888888889
perm,4,92.0,70.0,215.0
oldcount,4,26.0,20.0,59.0
optcount,4,20.0,18.0,53.0
opt_old,4,0.7692307692307693,0.9,0.8983050847457628
perm_opt,4,4.6,3.888888888888889,4.056603773584905
perm,4,122.0,128.0,347.0
oldcount,4,26.0,20.0,55.0
optcount,4,14.0,16.0,43.0
opt_old,4,0.5384615384615384,0.8,0.7818181818181819
perm_opt,4,8.714285714285714,8.0,8.069767441860465
perm,4,110.0,108.0,295.0
oldcount,4,24.0,20.0,57.0
optcount,4,24.0,20.0,57.0
opt_old,4,1.0,1.0,1.0
perm_opt,4,4.583333333333333,5.4,5.175438596491228
perm,4,128.0,130.0,363.0
oldcount,4,32.0,24.0,67.0
optcount,4,16.0,18.0,49.0
opt_old,4,0.5,0.75,0.7313432835820896
perm_opt,4,8.0,7.222222222222222,7.408163265306122
perm,4,98.0,84.0,233.0
oldcount,4,28.0,22.0,63.0
