name,d,Toffoli,CNOT,1-qubit
perm,1,66.0,30.0,120.0
oldcount,1,40.0,10.0,41.0
optcount,1,40.0,10.0,41.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.65,3.0,2.926829268292683
perm,1,66.0,26.0,114.0
oldcount,1,44.0,8.0,49.0
optcount,1,44.0,8.0,49.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5,3.25,2.326530612244898
perm,1,66.0,38.0,132.0
oldcount,1,70.0,14.0,57.0
optcount,1,70.0,14.0,57.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9428571428571428,2.7142857142857144,2.3157894736842106
perm,1,66.0,30.0,120.0
oldcount,1,24.0,10.0,25.0
optcount,1,24.0,10.0,25.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.75,3.0,4.8
perm,1,66.0,34.0,126.0
oldcount,1,76.0,12.0,71.0
optcount,1,76.0,12.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.868421052631579,2.8333333333333335,1.7746478873239437
perm,1,66.0,34.0,126.0
oldcount,1,68.0,12.0,63.0
optcount,1,68.0,12.0,63.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9705882352941176,2.8333333333333335,2.0
perm,1,66.0,46.0,144.0
oldcount,1,106.0,18.0,71.0
optcount,1,106.0,18.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.6226415094339622,2.5555555555555554,2.028169014084507
perm,1,66.0,30.0,120.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9411764705882353,3.0,3.4285714285714284
perm,1,66.0,46.0,144.0
oldcount,1,88.0,18.0,53.0
optcount,1,88.0,18.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.75,2.5555555555555554,2.7169811320754715
perm,1,66.0,26.0,114.0
oldcount,1,24.0,8.0,29.0
optcount,1,24.0,8.0,29.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.75,3.25,3.9310344827586206
perm,1,66.0,34.0,126.0
oldcount,1,70.0,12.0,65.0
optcount,1,70.0,12.0,65.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.9428571428571428,2.8333333333333335,1.9384615384615385
perm,1,66.0,30.0,120.0
oldcount,1,34.0,10.0,35.0
optcount,1,34.0,10.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.9411764705882353,3.0,3.4285714285714284
perm,1,66.0,34.0,126.0
oldcount,1,50.0,12.0,45.0
optcount,1,50.0,12.0,45.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.32,2.8333333333333335,2.8
perm,1,66.0,38.0,132.0
oldcount,1,84.0,14.0,71.0
optcount,1,84.0,14.0,71.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7857142857142857,2.7142857142857144,1.8591549295774648
perm,1,66.0,38.0,132.0
oldcount,1,66.0,14.0,53.0
optcount,1,66.0,14.0,53.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.0,2.7142857142857144,2.490566037735849
perm,1,66.0,30.0,120.0
oldcount,1,44.0,10.0,45.0
optcount,1,44.0,10.0,45.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5,3.0,2.6666666666666665
perm,1,66.0,30.0,120.0
oldcount,1,48.0,10.0,49.0
optcount,1,48.0,10.0,49.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.375,3.0,2.4489795918367347
perm,1,66.0,30.0,120.0
oldcount,1,32.0,10.0,33.0
optcount,1,32.0,10.0,33.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.0625,3.0,3.6363636363636362
perm,1,66.0,34.0,126.0
oldcount,1,78.0,12.0,73.0
optcount,1,78.0,12.0,73.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.8461538461538461,2.8333333333333335,1.726027397260274
perm,1,66.0,30.0,120.0
oldcount,1,48.0,10.0,49.0
optcount,1,48.0,10.0,49.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.375,3.0,2.4489795918367347
perm,1,66.0,26.0,114.0
oldcount,1,30.0,8.0,35.0
optcount,1,30.0,8.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.2,3.25,3.257142857142857
perm,1,66.0,30.0,120.0
oldcount,1,46.0,10.0,47.0
optcount,1,46.0,10.0,47.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.434782608695652,3.0,2.5531914893617023
perm,1,66.0,30.0,120.0
oldcount,1,42.0,10.0,43.0
optcount,1,42.0,10.0,43.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,1.5714285714285714,3.0,2.7906976744186047
perm,1,66.0,22.0,108.0
oldcount,1,28.0,6.0,35.0
optcount,1,28.0,6.0,35.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,2.357142857142857,3.6666666666666665,3.085714285714286
perm,1,66.0,18.0,102.0
oldcount,1,16.0,4.0,23.0
optcount,1,16.0,4.0,23.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,4.125,4.5,4.434782608695652
perm,1,66.0,46.0,144.0
oldcount,1,94.0,18.0,59.0
optcount,1,94.0,18.0,59.0
opt_old,1,1.0,1.0,1.0
perm_opt,1,0.7021276595744681,2.5555555555555554,2.440677966101695
perm,1,66.0,34.0,126.0
